id,fact,type,first_name,last_name,upvotes
65,Compared to other felines. domestic cats have narrowly spaced canine teeth. adapted to their preferred prey of small rodents.,cat,Alex,Wohlbruck,1
66,Cats. like dogs. are digitigrades. They walk directly on their toes. with the bones of their feet making up the lower part of the visible leg.,cat,Alex,Wohlbruck,1
67,A cat's kidneys are so efficient. it can survive on a diet consisting only of meat. with no additional water. and can even rehydrate by drinking seawater.,cat,Alex,Wohlbruck,1
68,Most breeds of cat have a noted fondness for settling in high places. or perching. In the wild. a higher place may serve as a concealed site from which to hunt.,cat,Alex,Wohlbruck,1
69,"The ability of a cat to reflexively twist its body and balance itself during a fall is known as the ""cat righting reflex"".",cat,Alex,Wohlbruck,1
70,The cat's tongue has backwards-facing spines about 500 μm long. which are called papillae. These contain keratin which makes them rigid so the papillae act like a hairbrush.,cat,Alex,Wohlbruck,1
71,Hank the Cat was a Maine Coon feline that was put up as a joke candidate in the 2012 United States Senate election in Virginia. a feat which gained international coverage after Hank reportedly came third behind the two major candidates. including Vice Presidential candidate Tim Kaine.,cat,Alex,Wohlbruck,1
72,A cat can die from essential oils,cat,Alex,Wohlbruck,1
73,Hearing is the strongest of cat's senses: They can hear sounds as high as 64 kHz — compared with humans. who can hear only as high as 20 kHz.,cat,Alex,Wohlbruck,1
74,Cats have free-floating clavicle bones that attach their shoulders to their forelimbs. which allows them to squeeze through very small spaces.,cat,Alex,Wohlbruck,1
75,Colonel Meow. a Himalayan-Persian mix who became famous on social media websites for his extremely long fur and scowling face. holds the Guinness world record for longest hair on a cat (nine inches).,cat,Alex,Wohlbruck,1
76,"Towser ""The Mouser"" of Glenturret Distillery in Crieff. Scotland. holds the Guinness World Record for the most mice caught (28.899).",cat,Alex,Wohlbruck,1
77,A cat can’t climb head first down a tree because every claw on a cat’s paw points the same way. To get down from a tree. a cat must back down.,cat,Alex,Wohlbruck,1
78,The cat who holds the record for the longest non-fatal fall is Andy. He fell from the 16th floor of an apartment building (about 200 ft/.06 km) and survived.,cat,Alex,Wohlbruck,1
79,A cat’s eyesight is both better and worse than humans. It is better because cats can see in much dimmer light and they have a wider peripheral view. It’s worse because they don’t see color as well as humans do. Scientists believe grass appears red to cats.,cat,Alex,Wohlbruck,1
80,The lightest cat on record is a blue point Himalayan called Tinker Toy. who weighed 1 pound. 6 ounces (616 g). Tinker Toy was 2.75 inches (7 cm) tall and 7.5 inches (19 cm) long.,cat,Alex,Wohlbruck,1
81,The first cartoon cat was Felix the Cat in 1919. In 1940. Tom and Jerry starred in the first theatrical cartoon “Puss Gets the Boot.” In 1981 Andrew Lloyd Weber created the musical Cats. based on T.S. Eliot’s Old Possum’s Book of Practical Cats.,cat,Alex,Wohlbruck,1
82,The claws on the cat’s back paws aren’t as sharp as the claws on the front paws because the claws in the back don’t retract and. consequently. become worn.,cat,Alex,Wohlbruck,1
83,The most traveled cat is Hamlet. who escaped from his carrier while on a flight. He hid for seven weeks behind a panel on the airplane. By the time he was discovered. he had traveled nearly 373.000 miles (600.000 km).,cat,Alex,Wohlbruck,1
84,"The little tufts of hair in a cat’s ear that help keep out dirt direct sounds into the ear. and insulate the ears are called ""ear furnishings.""",cat,Alex,Wohlbruck,1
85,The Australian Wildlife Conservancy completed a 44km cat-proof fence in 2018 to prevent feral cats from entering the Newhaven wildlife sanctuary. who kill about a million native birds every night across Australia and have caused the extinction of 20 native species.,cat,Alex,Wohlbruck,1
86,Black cats are bad luck in the United States. but they are good luck in the United Kingdom and Australia.,cat,Alex,Wohlbruck,1
87,The cat skull is unusual among mammals in having very large eye sockets and a powerful and specialized jaw.,cat,Alex,Wohlbruck,1
88,Cats have scent glands along their tail. their forehead. lips. chin. and the underside of their front paws.,cat,Alex,Wohlbruck,1
89,"The french tuxedo kitty. Félix. aka ""Astrocat"". was the first cat to go to space. She survived the trip.",cat,Alex,Wohlbruck,1
90,A male cat is called a tom.,cat,Alex,Wohlbruck,1
91,Issac Newton decided to invent the cat flap because his own cat. Spithead. kept opening the door and spoiling his light experiments.,cat,Alex,Wohlbruck,1
92,Thank to an extremely efficient pair of kidneys. cats can hydrate themselves by drinking salt water.,cat,Alex,Wohlbruck,1
93,A cats whiskers are the exact width of their body.,cat,Alex,Wohlbruck,1
94,At night. Disneyland is overrun by cats. The theme park feeds them and takes care of them though. because they keep the rodent population in check.,cat,Alex,Wohlbruck,1
95,Cats lack antibodies against dog blood so they can only receive it via a transfusion once. The second time would kill them.,cat,Alex,Wohlbruck,1
96,The Indiana State Prison allows prisoners to adopt a cat and keep it in their cell. They are meant to improve the mood of the prisoners.,cat,Alex,Wohlbruck,1
97,Oftentimes shelters won't let black cats be adopted around Halloween out of a fear that they may be sacrificed.,cat,Alex,Wohlbruck,1
98,"When cats bring dead animals back to their humans. they are ""teaching them to hunt"" as they would with a younger cat.",cat,Alex,Wohlbruck,1
99,Cat fanciers bred and exhibited Maus in Europe until World War II. when attention toward the cat waned and it nearly went extinct.,cat,Alex,Wohlbruck,1
100,The Egyptian Mau breed was saved from extinciton when Russian princess Natalie Trubetskaya was given a Mau that was imported from the Middle East. When she emigrated to New York City in 1956. she brought along three Mau cats. She used these kitties to establish the Fatima Egyptian Mau cattery. which produced many of the ancestors of today’s Egyptian Maus in America.,cat,Alex,Wohlbruck,1
101,Unlike kittens. adult cats don’t release any particular key hormones during sleep. They snooze all day just because they can. :),cat,Alex,Wohlbruck,1
102,Russian scientists discovered in the 1930s that Siamese kittens kept in very warm rooms didn't develop the breed's signature dark patches.,cat,Alex,Wohlbruck,1
103,Cats have a third eyelid called a “haw”. It’s generally only visible when they’re unwell.,cat,Alex,Wohlbruck,1
104,In the original Italian version of Cinderella. the benevolent fairy godmother figure was a cat.,cat,Alex,Wohlbruck,1
105,A cat was mayor of Talkeetna. Alaska. for 20 years. His name is Stubbs. and he died on July 23. 2017.,cat,,,1
106,Many people think that the Turkish Van is simply a color variation of the Turkish Angora. but in fact. they are distinct breeds that developed in different parts of Turkey.,cat,Alex,Wohlbruck,1
107,The Bengal is the result of crossbreeding between domestic cats and Asian leopard cats. and its name is derived from the scientific name for the Asian leopard cat (Felis bengalensis).,cat,Alex,Wohlbruck,1
108,"Despite its traditionally wild roots. the Bengal is domestic and will gladly make itself in the indoor ""jungle"" of your home.",cat,Alex,Wohlbruck,1
109,Cat's cannot see in total darkness. however their vision is much better than a human's in semidarkness because their retinas are much more sensitive to light.,cat,Alex,Wohlbruck,1
110,The gene that codes orange fur is on the X chromosome. so female cats must inherit two orange genes to end up with orange fur. while male cats only need one.,cat,Alex,Wohlbruck,1
111,The Manx hails from the Isle of Man in the Irish Sea. and many Manx are tailless. a condition believed to have been caused by a dominant genetic mutation that spread among the island's cat population.,cat,Alex,Wohlbruck,1
112,"Leonardo da Vinci created a series of drawings titled ""Study of Cat Movements and Positions"". which consists of more than twenty drawings of cats and lions lying a sleep. sitting. playing. and fighting.",cat,Alex,Wohlbruck,1
113,The Chartreux is distinguished by a woolly blue-grey coat. a robust body poised over small paws. and full cheeks with a mouth that always appear to be smiling.,cat,Alex,Wohlbruck,1
114,While Chartreux cats aren't very vocal. they are sociable and communicate through eye contact and body language.,cat,Alex,Wohlbruck,1
115,Cats love playing with yarn. ribbons. and fishing-rode style toys. However. cats should not be left alone with anything that they could get tangled in.,cat,Alex,Wohlbruck,1
116,All Scottish Folds descended from Susie. a white barn cat discovered in Scotland in the early 1960s. Susie sported the breed's folded ears – the result of a genetic mutation – and passed on the trait through breeding.,cat,Alex,Wohlbruck,1
117,Mark Twain was undeniably an ailurophile. He had up to 19 cats at one time and gave them such memorable names as Beelzebub. Buffalo Bill. and Soapy Sal.,cat,Alex,Wohlbruck,1
118,If you really want to treat your cat. get some lactose-free milk at the grocery store and offer some to the kitty.,cat,Alex,Wohlbruck,1
119,Abraham Lincoln. being the ailurophile that he was. once rescued three stray kittens and ensured that they were fed and found homes.,cat,Alex,Wohlbruck,1
120,The Sphynx was originally known as the Canadian Hairless Cat. The breed originated in Toronto. and was renamed to Sphynx. a nod to the famous limestone sculpture in the Egyptian Desert.,cat,Alex,Wohlbruck,1
121,A cat’s spine can rotate more than the spines of most other animals. and their vertebrae have a special. flexible. elastic cushioning on the disks. which gives it even more flexibility.,cat,Alex,Wohlbruck,1
122,Cats have been domesticated for around 4.000 years. While they were once valued for their hunting abilities. they are now valued for their companionship and loving behavior.,cat,Hedvig,Annersten,1
123,The most popular pedigreed cat in North America is the Persian cat. followed by the Main Coon and the Siamese cat.,cat,Hedvig,Annersten,1
124,In the early 1980s. a Chinchilla Persian cat named Jemari Sanquist mated with a Lilac Burmese named Bambino Lilac Fabergé. producing the Burmilla breed.,cat,Alex,Wohlbruck,1
125,Scratching allows a cat to shed the outer layers of her claws. mark her territory. and stretch her body. Rather than discouraging the scratching behavior altogether. try redirecting your cat to a few scratching posts placed strategically around your home.,cat,Alex,Wohlbruck,1
126,The elegant Balinese is a longhaired variety of the Siamese. and like the Siamese. this stunning breed is sociable and intelligent. The breed was named for the grace of the dancers on the island of Bali in Indonesia.,cat,Alex,Wohlbruck,1
127,A large number of cats inhabit the Largo di Torre Argentina. an ancient Roman temple site near where Caesar was killed. Local volunteers care for the cats.,cat,Alex,Wohlbruck,1
128,"Among the British government officials who keep things running smoothly at 10 Downing Street is Larry. a cat that holds the distinguished position of Chief Mouser. Larry's duties. according to the U.K. government. include ""greeting guests"". ""testing antique furniture for napping quality"". and ""contemplating a solution to the mouse occupancy of the house."".",cat,Alex,Wohlbruck,1
129,"The Norwegian Forest Cat is called ""skogcatt"" in its homeland of Norway and plays a role in the Norwegian fairy tales and legends.",cat,Alex,Wohlbruck,1
130,The Abyssinian. the Siamese. and the American Shorthair were crossbred to produce the Ocicat breed.,cat,Alex,Wohlbruck,1
131,Some animal shelters require kittens be adopted in pairs to ensure they came from the same litter.,cat,Alex,Wohlbruck,1
132,The Havana Brown breed hails from England. where it was created by crossbreeding Siamese cats with domestic black cats.,cat,Alex,Wohlbruck,1
133,While we don't know the exact origins of the Russian Blue. it's commonly believed the breed comes from the Archangel Isles in northwestern Russia—the region's cold climate would certainly explain the breed's plush coat.,cat,Alex,Wohlbruck,1
134,The wild-looking but domestic Ocicat is named for its resemblance to the ocelot. a small South American wild cat.,cat,Alex,Wohlbruck,1
135,"The Turkish Van is often called the ""swimming cat"" because they are naturals in the water. thanks in part to their uniquely textured. water-resistant coat.",cat,Alex,Wohlbruck,1
136,GitHub is a cloud source version control system where its mascot is an octocat. an anthropomorphized cat with five tentacles.,cat,Daniel,Carvalho,1
137,About one in two cats respond to catnip. and only develop a sensitivity to it at around 3 to 6 months of age.,cat,Leonard,Wohlfarth,1
138,Due to the controversy. though loved by most. the Kashmir is overlooked by many cat fanciers.,cat,Kenny,Corsig,1
139,The Egyptian Mau is the oldest breed of cat. and is the fastest pedigreed cat.,cat,Alex,Wohlbruck,1
140,The domestic cat (Felis catus) is a small. typically furry. carnivorous mammal.,cat,Alex,Wohlbruck,1
141,Blackie became the richest cat in history when he inherited 15 million British Pounds.,cat,Alex,Wohlbruck,1
142,Cats have about 130.000 hairs per square inch (20.155 hairs per square centimeter).,cat,Alex,Wohlbruck,1
143,Many Egyptians worshipped the goddess Bast. who had a woman’s body and a cat’s head.,cat,Alex,Wohlbruck,1
144,Approximately 1/3 of cat owners think their pets are able to read their minds.,cat,Alex,Wohlbruck,1
145,The average female housecat could give birth to ove 100 kittens in her lifetime.,cat,Alex,Wohlbruck,1
146,Cats don't go through menopause. so they can continue to breed into their senior years.,cat,Alex,Wohlbruck,1
147,Cats like being brushed by their owners. because it reminds them of their mother.,cat,David,Gippner,1
148,"Loyal. playful. and alert. Manx are considered to be more ""doglike"" than other cats.",cat,Alex,Wohlbruck,1
149,According to the American Society for the Prevention of Cruelty of Animals. newborn kittens get all the nutrition they need duing the first four weeks of life fom their mother's milk. If you are taking care of a kitten without its mother. or if the mother isn't producing enough milk. you can feed the kitten a commercial milk substitute.,cat,Alex,Wohlbruck,1
150,When kittens ages to weeks five and six. they should start making the transition to dry food.,cat,Alex,Wohlbruck,1
151,Legend holds that the Chartreux once lived alongside the Carthusian monks of France.,cat,Alex,Wohlbruck,1
152,Bobtail cats owe their shortened tails to a natural genetic mutation that has appeared in cats across time and in various regions of the world. The American Bobtail can be traced back to Yodi. a cat with the mutation that was found in Arizona in the 1960s. Yodi passed the genetic quirk on to his kittens. thus creating a new breed.,cat,Alex,Wohlbruck,1
153,Traveling with cats can be stressful for everyone involved. Whether you're taking a kitty to the vet. or on a road trip. or on a flight. there are things you can do to help her stay relaxed in the carrier. Pet shops sell calming treats and sprays that can reduce a cat's anxiety. It might also help to put a beloved toy or a blanket in the carrier.,cat,Alex,Wohlbruck,1
154,A cat has 244 bones in its entire body—even more than a human. who only has 206 bones.,cat,Veronika,Koval,1
155,"The fear of cats is called ""Ailurophobia""",cat,Alex,Wohlbruck,1
156,Cat owners are 25% likely to pick George Harrison as their favorite Beatle.,cat,Alex,Wohlbruck,1
157,"Only 11.5% of people consider themselves ""cat people"".",cat,Alex,Wohlbruck,1
158,"""Cat people"" are 11% more likely to be introverted than others.",cat,Alex,Wohlbruck,1
159,The place where Julius Caesar was murdered is now a cat sanctuary.,cat,Alex,Wohlbruck,1
160,The Bombay cat breed was developed to resemble a miniature panther.,cat,Alex,Wohlbruck,1
161,Cats use their whiskers to judge whether they’ll fit through a space.,cat,Alex,Wohlbruck,1
162,Among domestic cats. males are more likely to fight than females.,cat,Alex,Wohlbruck,1
163,The softest part of a cat is most definitely its cheek area.,cat,Alex,Wohlbruck,1
164,When a cat yawns. it's mouth opens so wide that you can count every tooth.,cat,Alex,Wohlbruck,1
165,Cats can move their ears 180 degrees.,cat,Alex,Wohlbruck,1
166,Like humans. cats tend to favor one paw over another.,cat,Alex,Wohlbruck,1
167,Approximately 40.000 people are bitten by cats in the U.S. annually.,cat,Alex,Wohlbruck,1
168,Kittens start to dream when they’re about a week old.,cat,Alex,Wohlbruck,1
169,Approximately 40% of cats have a dominant paw. The rest are ambidextrous.,cat,Alex,Wohlbruck,1
170,Cats can have three litters a year. or approximately 12 kittens.,cat,Alex,Wohlbruck,1
171,If you grow your own catnip. here's how to prepare it for kitty's enjoyment: Cut several stalks of the plant from the base. Hang them upside down in a dark and dry room for several weeks. Then cut the catnip into small pieces. rub some on your cat's favorite toys or scratching post. and let the games begin!,cat,Alex,Wohlbruck,1
172,Approximately 80% of orange tabbies are male.,cat,Alex,Wohlbruck,1
173,"If you need to trim a cat's nails. choose a moment when he is relaxed. Massage his paws gently before clipping. Make sure you're using a pair of clippers specifically for cat's nails. not human nail clippers. Avoid cutting the nail too close to the ""quick."" the pink part of a cat's nail. which is full of blood vessels and nerves.",cat,Alex,Wohlbruck,1
174,"The collective noun for kittens is a ""kindle"".",cat,Beth,Rothwell,1
175,Do you ever wake up in the middle of the night and find your cat sleeping on your head? Cat behavioral experts believe that cats are drawn to the warmth and the familiar scent of the owner. Resting on your head also keeps kitty safe from your arms and legs if you toss and turn through the night.,cat,Alex,Wohlbruck,1
176,The cheetah is the only cat that doesn't have retractable claws.,cat,Tests,HiQ,1
177,There are only two escalators in the state of Wyoming.,cat,Alex,Wohlbruck,1
178,"When a cat lifts its butt in the air when scratched. it is a sign that your feline is giving your pats an A+. However. if you have a female kitty who hasn't been spayed. ""elevator butt"" could be a sign that she's ready to mate. The proper name for this stance is lordosis. and cats adopt it when they're in heat.",cat,Alex,Wohlbruck,1
179,"On October 24. 1963. a tuxedo cat named Félicette entered outer space aboard a French Véronique AG1 rocket and made feline history. Félicette returned from the 15-minute trip in once piece and earned the praise of French scientists. who said she made ""a valuable contribution to research."".",cat,Alex,Wohlbruck,1
180,Cats can sense distress from a human being.,cat,Chloe,Simmons,1
181,Norwegian Forest Cats are usually very people friendly.,cat,Shay,Zhang,1
182,During the heat of the summer. set out an extra bowl of water and place ice cubes in it to keep it cold and refreshing. Cats love to lie on cool surfaces when it's hot—if you don't have an tile in your home. consider buying a few ceramic tiles from a home improvement store for your cat to rest on.,cat,Alex,Wohlbruck,1
183,Courgars are the largest wild cats that can purr.,cat,Alex,Wohlbruck,1
184,Andy Warhol amassed quite the collection of feline friends during his lifetime. beginning with a Siamese cat named Hester that was given to him by actress Gloria Swanson. By breeding Hester with a cat named Sam. Warhol ended up with multiple litters of kittens. at one point housing 25 cats in his Upper East Side townhouse in NYC.,cat,Alex,Wohlbruck,1
185,While two kittens might sound like double trouble. adopting two at a time can actually make your job easier. Two cans can keep each other company. reducing their need for socialization. and they will expend energy by playing together. Kittens in the same litter often form tight sibling bonds.,cat,Alex,Wohlbruck,1
186,Dr. Seuss wrote The Cat in the Hat using only 236 words.,cat,Alex,Wohlbruck,1
187,Cats conserve energy by sleeping for an average of 13 to 14 hours a day.,cat,Erick,Vazquez,1
188,Some cats do not eat fish.,cat,Max,Bilohatnyuk,0
189,Kasimir Schulz.,cat,Alireza,Khalesi,0
190,Test.,cat,Alireza,Khalesi,0
191,Cats can climb on trees faster than squirels.,cat,Łukasz,Wiktorko,0
192,Cicus.,cat,User,Teszt,0
193,X.,cat,DM,Z,0
194,Cat is called Biralo in Nepalese.,cat,Paras,Gurung,0
195,A.,cat,Khương,Thái,0
196,Cats have one life.,cat,Taylor,Fahlman,0
197,Cats are lovey pets.,cat,Stine,Atuokwu,0
198,1,cat,Łukasz,Wiktorko,0
199,"""Cats can hear the ultrasonic noises that rodents and dolphins make to communicate."".",cat,Crystal Gale,Scott,0
200,"""A house cat is faster than Usain Bolt."".",cat,oyaji,55,0
201,Cats see only on blue and yellow.,cat,Eduardo,P. Gomez,0
202,Cats are dumb.,cat,Andrew,Steele,0
203,Cat.,cat,bah,godam99,0
204,Sleep.,cat,bah,godam99,0
205,Cat is an animal.,cat,Dicka,Ismaji,0
206,Cat live. on average. for about 7-8 years.,cat,RYAN,STULTZ,0
207,Hi.,cat,Durgarao,R,0
208,123,cat,Durgarao,R,0
209,Fgf.,cat,Durgarao,R,0
210,Asd.,cat,dm,max,0
211,Bbb.,cat,Cristian,Salcedo,0
212,Helo.,cat,Umesh,Golla,0
213,4564,cat,Анна,Абрамова,0
214,46546,cat,Анна,Абрамова,0
215,Persa.,cat,Ivo,Baptista,0
216,Speed.,cat,Peter,Seboyeng,0
217,Aptude Luis.,cat,luisnoe,jasso,0
218,貓貓.,cat,橿,孟,0
219,Hello World.,cat,Sanjay,Sarkar,0
220,Cats is good.,cat,Геннадий,Сычик,0
221,Koudetat.,cat,jean-marie,romelus,0
222,Pisucile sunt pufoase.,cat,Andrei,Casuneanu,0
223,The stationmaster of the Kishi rail station in western Japan until 2015 was a cat named Tama. The calico cat wore a stationmaster's cap and greeted visitors by the ticket gate. After her death. Tama was elevated to the status of a goddess in a Shinto-style funeral.,cat,Alex,Wohlbruck,0
224,In Norse mythology. the goddess Freya travels in a chariot pulled by two cats—specifically Norwegian Forest Cats.,cat,Alex,Wohlbruck,0
225,American Curl kittens are born with straight ears. but the ears begin to curl back after just a few days.,cat,Alex,Wohlbruck,0
226,If your cat licks from the toilet. bathtub. or sink. she may be telling you something about the water bowl. Make sure it's clean. replace the water regularly to keep it from getting stale or developing a film on top. and if necessary. get a new bowl. Some cats prefer glass bowls to plastic.,cat,Alex,Wohlbruck,0
227,Georgia O'Keeffe was a celebrated painter. a figurehead of American modernism. a fashion icon. and... a cat owner! O'Keeffe kept a number of animals at her home in New Mexico. including her pet Siamese cat. who appears alongside O'Keeffe in a portrait shot by photographer John Candelario.,cat,Alex,Wohlbruck,0
228,"The pink substance inside a cat's nail is called the ""quick"" or the ""dermis"". When trimming your cat's nails. be sure to only cut the upper white part of the nail. not the quick.",cat,Alex,Wohlbruck,0
229,The irresistable and cuddly Ragamuffin is the result of crossbreeding Ragdoll cats with Persians. Himalayans. and other larger longhaired breeds.,cat,Alex,Wohlbruck,0
